IDПользователя;?id чека;Цена
000b131c44f45319a9be477e27c59afb;0685a922cba23e49348035b0a93fafc3;104.1
0027ee6ff0c6b9866907919a1418f746;3eb9e4f4c33d087f0c8721d0fcbe9408;1352.42
005960ba3df71a31e6719efd031225b4;05c89e6400e69b5787cd03d97f50aa9d;870.0
0061223512faaadaa560db986651e205;23ec47b851d293e916193c9dec2ac08c;5620.0
00b34e2f6ef934e076eeae97cf471b10;2bc521019aaef3d5b34f45f756278023;13490.0
01ef849d5d1d67935849cd1b9a8973b6;11db264ed28d456d01234ab85d67067a;999.0
01ef849d5d1d67935849cd1b9a8973b6;3f2fe81786bda694783f97772112e543;159.0
02354d3f69ef23a64d6fc26c3d13959a;338e82f2e492dd75a317fc310fc075a2;745.0
0273d5a4a7ec451bd7ef84c693e142f2;13cc100be540bb4ad67c1da515ed9c90;95.29
02ce7ec16fce90216c92416e576b04e5;02dc341b210a95d38be59152cc67663d;952.0
02fa80501d177daf7c73c2578359d8f3;21898b2be0376508bd42c162a09c6384;1129.99
031915eb0b337c10d61317c26529d6e0;1ea3d6c39d785f56fba657d0d0f42796;179.0
03516a7caf02dd82baaefce20e9e1a45;1e070f86d339a20236170e5d9fd5e017;165.19
03a3ac1c21ed2a2828df22e90e5586a1;2e3fa6dec3b2b7d1be0422922df8f13e;31.0
040ecbcde9f4654042b72c5bbb254835;19f0c3b615044bfbea229f4f008ea984;999.0
043d932b0b717e56928eba42c3a70476;0bd3f9a0a88b3c18bee97d6cdf66fe25;54.9
043d932b0b717e56928eba42c3a70476;48cc671cf656852be917a7ed5d43c5ec;134.9
0469f6a0519406aa665404c1809c39f1;07be3b9e96ad3c4cbcb7bb32d3535f22;1299.0
0469f6a0519406aa665404c1809c39f1;14c2f967ff516250a7a7b8dedc3dc9a7;129.9
0469f6a0519406aa665404c1809c39f1;14c2f967ff516250a7a7b8dedc3dc9a7;149.0
0470ba29689c63888f580e643b7b8f04;38797f125a44f39a8c95efc9476cc565;1290.0
04cba6cb75c2469a7ec40fb0a6483cac;0053c8f7397dd02b6f6d0026913cab1e;2189.0
05232e040972d309b4b4a1fb4b00b0c2;247f3a125e015b60d9f035ab99d858a4;796.86
0586a7c427d27a6591d65c251de5f0f2;1d5c7329155bf10c4ccc84ce1be91b2f;1.0
0628534c4fe85cd7c30444456d480a8d;45ce0bf815a8d7b5346ab6c5858a702f;38.49
06574d290bcc353879d0ff8736682e0d;20a56a249e9c3db989c6d8bea147ef5b;33.69
06b2b3a2e704ba2995aa301348cb37e5;38f08b8248dc60570d75f3ce7a096831;1457.0
076eb70d00b46aa8325d8ad48d9a0045;0dc81823443545503ee5081dfd90485d;121.0
07773aa96a297149be6f3aa3ee41d741;041ccb3c029ce3a6f4e539496dc6e9cc;110.0
081b3659ef9642a2985ed85420479a9b;111a0ac322563c70a879bb2044b73481;699.0
08978833ce98d2130fbce46c1f82d2f2;498a2f0d693fbe7fb8bf9d990fa437d7;79.0
08aaca8a90bcc9e21c5a1657d267d8d6;3f0f3d44053cccb16dde57b1c8ca81cd;140.99
08e5f4ccbfe8e0fa6475fb196ffe12e0;3a5c015e550d5cc0d8d1e3be5f969d3c;999.0
08f4b57b10b9048ae0ce5f5cbd77dc90;2a3a46feb9bac6024db84173f7e8d2ac;149.0
0a2fdc22b8ef7e12eba166526461a6d5;22c0551d7798c1feb80eb157f4130728;3061.0
0b7509ea175f640035b154216355f5fb;318418ceaa68e36440b937b7b004c767;38.99
